"name","Type","Color","Color Category","manacost","maybeboard","tags"
"Boros Elite","Creature - Human Soldier","W","White","{W}","false","White - Weenie"
"Deftblade Elite","Creature - Human Cleric","W","White","{W}","false","White - Equipment"
"Doomed Traveler","Creature - Human Soldier","W","White","{W}","false","White - Weenie"
"Faerie Guidemother","Creature - Faerie ","W","White","{W}","false","White - Flicker / Blink"
"Gideon's Lawkeeper","Creature - Human Soldier","W","White","{W}","false","White - Prison"
"Novice Inspector","Creature - Human Detective","W","White","{W}","false","White - Flicker / Blink"
"Thraben Inspector","Creature - Human Soldier","W","White","{W}","false","White - Flicker / Blink"
"Ancestral Blade","Creature","W","White","{1}{W}","false","White - Equipment"
"Cathar Commando","Creature - Human Soldier","W","White","{1}{W}","false","White - Prison"
"Kor Skyfisher","Creature - Kor Soldier","W","White","{1}{W}","false","White - Flicker / Blink"
"Phantom Nomad","Creature - Spirit Nomad","W","White","{1}{W}","false","White - Weenie"
"Raise the Alarm","Creature","W","White","{1}{W}","false","White - Weenie"
"Seeker of the Way","Creature - Human Warrior","W","White","{1}{W}","false","White - Equipment"
"Suture Priest","Creature - Phyrexian Cleric","W","White","{1}{W}","false","White - Weenie"
"Topan Freeblade","Creature - Human Soldier","W","White","{1}{W}","false","White - Equipment"
"Attended Knight","Creature - Human Knight","W","White","{2}{W}","false","White - Flicker / Blink"
"Heliod's Pilgrim","Creature - Human Cleric","W","White","{2}{W}","false","White - Prison"
"Holy Cow","Creature - Ox Angel","W","White","{2}{W}","false","White - Flicker / Blink"
"Inspiring Overseer","Creature - Bird Rebel Soldier","W","White","{2}{W}","false","White - Flicker / Blink"
"Militia Bugler","Creature - Human Soldier","W","White","{2}{W}","false","White - Weenie"
"Porcelain Legionnaire","Artifact Creature - Soldier","W","White","{2}{W/P}","false","White - Equipment"
"Sandsteppe Outcast","Creature - Human Warrior","W","White","{2}{W}","false","White - Flicker / Blink"
"Battle Screech","Creature","W","White","{2}{W}{W}","false","White - Weenie"
"Coalition Honor Guard","Creature - Human Flagbearer","W","White","{3}{W}","false","White - Prison"
"Guardian of the Guildpact","Creature - Spirit","W","White","{3}{W}","false","White - Equipment"
"Rhox Veteran","Creature - Rhino Soldier","W","White","{3}{W}","false","White - Weenie"
"Search Party Captain","Creature - Human Soldier","W","White","{3}{W}","false","White - Weenie"
"Custodi Squire","Creature - Spirit Cleric","W","White","{4}{W}","false","White - Flicker / Blink"
"Alabaster Host Intercessor","Creature - Phyrexian Samurai","W","White","{5}{W}","false","White - Prison"
"Pegasus Guardian","Creature - Pegasus","W","White","{5}{W}","false","White - Flicker / Blink"
"Triplicate Spirits","Creature","W","White","{4}{W}{W}","false","White - Weenie"
"Ephemerate","Instant","W","White","{W}","false","White - Flicker / Blink"
"Gods Willing","Instant","W","White","{W}","false","White - Equipment"
"Dauntless Unity","Instant","W","White","{1}{W}","false","White - Weenie"
"Unbounded Potential","Instant","W","White","{1}{W}","false","White - Weenie"
"Borrowed Grace","Instant","W","White","{2}{W}","false","White - Weenie"
"Sunlance","Sorcery","W","White","{W}","false","White - Prison"
"Settle Beyond Reality","Sorcery","W","White","{4}{W}","false","White - Flicker / Blink"
"Greatsword of Tyr","Artifact - Equipment","W","White","{1}{W}","false","White - Equipment"
"Dog Umbra","Enchantment - Aura","W","White","{1}{W}","false","White - Prison"
"Journey to Nowhere","Enchantment","W","White","{1}{W}","false","White - Prison"
"Petrify","Enchantment - Aura","W","White","{1}{W}","false","White - Prison"
"Planar Disruption","Enchantment - Aura","W","White","{1}{W}","false","White - Prison"
"Oblivion Ring","Enchantment","W","White","{2}{W}","false","White - Prison"
