"name","Type","Color","manacost","maybeboard","tags"
"Anointed Chorister","Creature - Human Cleric","W","{W}","false","W - Devotion"
"Anointed Chorister","Creature - Human Cleric","W","{W}","false","W - Lifegain"
"Speaker of the Heavens","Creature - Human Cleric","W","{W}","false","W - Lifegain"
"Thraben Inspector","Creature - Human Soldier","W","{W}","false","W - Blink"
"Charming Prince","Creature - Human Noble","W","{1}{W}","false","W - Blink"
"Charming Prince","Creature - Human Noble","W","{1}{W}","false","W - Devotion"
"Daxos, Blessed by the Sun","Legendary Enchantment Creature - Demigod","W","{W}{W}","false","W - Devotion"
"Daxos, Blessed by the Sun","Legendary Enchantment Creature - Demigod","W","{W}{W}","false","W - Devotion"
"Daxos, Blessed by the Sun","Legendary Enchantment Creature - Demigod","W","{W}{W}","false","W - Lifegain"
"Distinguished Conjurer","Creature - Human Wizard","W","{1}{W}","false","W - Blink"
"Ninth Bridge Patrol","Creature - Dwarf Soldier","W","{1}{W}","false","W - Blink"
"Angel of Vitality","Creature - Angel","W","{2}{W}","false","W - Lifegain"
"Fiend Hunter","Creature - Human Cleric","W","{1}{W}{W}","false","W - Blink"
"Inspiring Overseer","Creature - Angel Cleric","W","{2}{W}","false","W - Blink"
"Inspiring Overseer","Creature - Angel Cleric","W","{2}{W}","false","W - Lifegain"
"Mentor of the Meek","Creature - Human Soldier","W","{2}{W}","false","W - Devotion"
"Prava of the Steel Legion","Legendary Creature - Cat Soldier","W","{2}{W}","false","W - Go Wide"
"Seller of Songbirds","Creature - Human","W","{2}{W}","false","W - Blink"
"Skyclave Apparition","Creature - Kor Spirit","W","{1}{W}{W}","false","W - Blink"
"Emiel the Blessed","Legendary Creature - Unicorn","W","{2}{W}{W}","false","W - Blink"
"Platoon Dispenser","Artifact Creature - Construct","W","{5}","false","W - Go Wide"
"Reverent Hoplite","Creature - Human Soldier","W","{4}{W}","false","W - Devotion"
"Reverent Hoplite","Creature - Human Soldier","W","{4}{W}","false","W - Devotion"
"Serra Angel","Creature - Angel","W","{3}{W}{W}","false","W - Lifegain"
"Serra Redeemer","Creature - Angel Soldier","W","{3}{W}{W}","false","W - Devotion"
"Nykthos Paragon","Enchantment Creature - Human Soldier","W","{4}{W}{W}","false","W - Lifegain"
"Ephemerate","Instant","W","{W}","false","W - Blink"
"Ephemerate","Instant","W","{W}","false","W - Devotion"
"Light of Hope","Instant","W","{W}","false","W - Lifegain"
"Outflank","Instant","W","{W}","false","W - Go Wide"
"Kabira Takedown","Instant","W","{1}{W}","false","W - Go Wide"
"Raise the Alarm","Instant","W","{1}{W}","false","W - Go Wide"
"Raise the Alarm","Instant","W","{1}{W}","false","W - Go Wide"
"Take Up the Shield","Instant","W","{1}{W}","false","W - Lifegain"
"Sunset Revelry","Sorcery","W","{1}{W}","false","W - Go Wide"
"Sworn Companions","Sorcery","W","{2}{W}","false","W - Go Wide"
"Release the Dogs","Sorcery","W","{3}{W}","false","W - Go Wide"
"Altar of the Pantheon","Artifact","W","{3}","false","W - Devotion"
"Legion's Landing","Legendary Enchantment","W","{W}","false","W - Go Wide"
"Dawn of Hope","Enchantment","W","{1}{W}","false","W - Lifegain"
"Intangible Virtue","Enchantment","W","{1}{W}","false","W - Go Wide"
"Rune of Sustenance","Enchantment - Aura Rune","W","{1}{W}","false","W - Lifegain"
"Banishing Light","Enchantment","W","{2}{W}","false","W - Devotion"
"Seal from Existence","Enchantment","W","{1}{W}{W}","false","W - Devotion"
"Faith's Fetters","Enchantment - Aura","W","{3}{W}","false","W - Lifegain"
"Divine Visitation","Enchantment","W","{3}{W}{W}","false","W - Go Wide"
"Invasion of Belenon","Battle - Siege","W","{2}{W}","false","W - Go Wide"
"Delver of Secrets","Creature - Human Wizard","U","{U}","false","U - Delver"
"Delver of Secrets","Creature - Human Wizard","U","{U}","false","U - Delver"
"Merfolk Secretkeeper","Creature - Merfolk Wizard","U","{U}","false","U - Mill"
"Merfolk Secretkeeper","Creature - Merfolk Wizard","U","{U}","false","U - Mill"
"Overwhelmed Apprentice","Creature - Human Wizard","U","{U}","false","U - Mill"
"Overwhelmed Apprentice","Creature - Human Wizard","U","{U}","false","U - Mill"
"Ruin Crab","Creature - Crab","U","{U}","false","U - Mill"
"Spectral Sailor","Creature - Spirit Pirate","U","{U}","false","U - Spirits"
"Departed Deckhand","Creature - Spirit Pirate","U","{1}{U}","false","U - Spirits"
"Mischievous Catgeist","Creature - Cat Spirit","U","{1}{U}","false","U - Spirits"
"Parcel Myr","Artifact Creature - Clue Myr","U","{1}{U}","false","U - Investigate"
"Rattlechains","Creature - Spirit","U","{1}{U}","false","U - Spirits"
"Dreamshackle Geist","Creature - Spirit","U","{1}{U}{U}","false","U - Spirits"
"Forensic Gadgeteer","Creature - Vedalken Artificer Detective","U","{2}{U}","false","U - Investigate"
"Ghost-Lit Drifter","Creature - Spirit","U","{2}{U}","false","U - Spirits"
"Overwhelmed Archivist","Creature - Human Wizard","U","{2}{U}","false","U - Spirits"
"Patrician Geist","Creature - Spirit Knight","U","{2}{U}","false","U - Spirits"
"Filigree Attendant","Artifact Creature - Homunculus","U","{2}{U}{U}","false","U - Investigate"
"Talrand, Sky Summoner","Legendary Creature - Merfolk Wizard","U","{2}{U}{U}","false","U - Delver"
"Docent of Perfection","Creature - Insect Horror","U","{3}{U}{U}","false","U - Delver"
"Screaming Swarm","Creature - Bird Horror","U","{5}{U}","false","U - Mill"
"Gearseeker Serpent","Creature - Serpent","U","{5}{U}{U}","false","U - Investigate"
"Tolarian Terror","Creature - Serpent","U","{6}{U}","false","U - Delver"
"Jace Beleren","Legendary Planeswalker - Jace","U","{1}{U}{U}","false","U - Mill"
"Brainstorm","Instant","U","{U}","false","U - Delver"
"Fading Hope","Instant","U","{U}","false","U - Delver"
"Opt","Instant","U","{U}","false","U - Delver"
