"name","Type","Color","manacost","maybeboard","tags"
"Island","Basic Land - Island","U","","false","Above the Clouds"
"Thriving Isle","Land","U","","false","Above the Clouds"
"Island","Basic Land - Island","U","","false","Above the Clouds"
"Island","Basic Land - Island","U","","false","Above the Clouds"
"Island","Basic Land - Island","U","","false","Above the Clouds"
"Island","Basic Land - Island","U","","false","Above the Clouds"
"Island","Basic Land - Island","U","","false","Above the Clouds"
"Island","Basic Land - Island","U","","false","Above the Clouds"
"Rookie Mistake","Instant","U","{U}","false","Above the Clouds"
"Wall of Runes","Creature - Wall","U","{U}","false","Above the Clouds"
"Keen Glidemaster","Creature - Human Soldier","U","{1}{U}","false","Above the Clouds"
"Lofty Denial","Instant","U","{1}{U}","false","Above the Clouds"
"Kira, Great Glass-Spinner","Legendary Creature - Spirit","U","{1}{U}{U}","false","Above the Clouds"
"Mistral Singer","Creature - Siren","U","{2}{U}","false","Above the Clouds"
"Serendib Efreet","Creature - Efreet","U","{2}{U}","false","Above the Clouds"
"Warden of Evos Isle","Creature - Bird Wizard","U","{2}{U}","false","Above the Clouds"
"Talrand's Invocation","Sorcery","U","{2}{U}{U}","false","Above the Clouds"
"Inniaz, the Gale Force","Legendary Creature - Djinn","U","{3}{U}{U}","false","Above the Clouds"
"Windstorm Drake","Creature - Drake","U","{4}{U}","false","Above the Clouds"
"Windreader Sphinx","Creature - Sphinx","U","{5}{U}{U}","false","Above the Clouds"
"Thriving Heath","Land","W","","false","Angels"
"Plains","Basic Land - Plains","W","","false","Angels"
"Plains","Basic Land - Plains","W","","false","Angels"
"Plains","Basic Land - Plains","W","","false","Angels"
"Plains","Basic Land - Plains","W","","false","Angels"
"Plains","Basic Land - Plains","W","","false","Angels"
"Plains","Basic Land - Plains","W","","false","Angels"
"Plains","Basic Land - Plains","W","","false","Angels"
"Anointed Chorister","Creature - Human Cleric","W","{W}","false","Angels"
"Take Heart","Instant","W","{W}","false","Angels"
"Angelic Ascension","Instant","W","{1}{W}","false","Angels"
"Angelic Page","Creature - Angel Spirit","W","{1}{W}","false","Angels"
"Feat of Resistance","Instant","W","{1}{W}","false","Angels"
"Guardian Idol","Artifact","W","{2}","false","Angels"
"Celestial Enforcer","Creature - Human Cleric","W","{2}{W}","false","Angels"
"Emancipation Angel","Creature - Angel","W","{1}{W}{W}","false","Angels"
"Linvala, Keeper of Silence","Legendary Creature - Angel","W","{2}{W}{W}","false","Angels"
"Baneslayer Angel","Creature - Angel","W","{3}{W}{W}","false","Angels"
"Serra Angel","Creature - Angel","W","{3}{W}{W}","false","Angels"
"Angelic Arbiter","Creature - Angel","W","{5}{W}{W}","false","Angels"
"Island","Basic Land - Island","U","","false","Archeology"
"Buried Ruin","Land","U","","false","Archeology"
"Thriving Isle","Land","U","","false","Archeology"
"Island","Basic Land - Island","U","","false","Archeology"
"Island","Basic Land - Island","U","","false","Archeology"
"Island","Basic Land - Island","U","","false","Archeology"
"Island","Basic Land - Island","U","","false","Archeology"
"Island","Basic Land - Island","U","","false","Archeology"
"Lightning-Core Excavator","Artifact Creature - Golem","U","{1}","false","Archeology"
"Terrarion","Artifact","U","{1}","false","Archeology"
"Prismite","Artifact Creature - Golem","U","{2}","false","Archeology"
"Archaeomender","Creature - Human Wizard","U","{2}{U}","false","Archeology"
"Scarecrone","Artifact Creature - Scarecrow","U","{3}","false","Archeology"
"Scuttlemutt","Artifact Creature - Scarecrow","U","{3}","false","Archeology"
"Thirst for Knowledge","Instant","U","{2}{U}","false","Archeology"
"Hedron Archive","Artifact","U","{4}","false","Archeology"
"Juggernaut","Artifact Creature - Juggernaut","U","{4}","false","Archeology"
"Vedalken Archmage","Creature - Vedalken Wizard","U","{2}{U}{U}","false","Archeology"
"Sharding Sphinx","Artifact Creature - Sphinx","U","{4}{U}{U}","false","Archeology"
"Scholar of the Lost Trove","Creature - Sphinx","U","{5}{U}{U}","false","Archeology"
"Plains","Basic Land - Plains","W","","false","Basri"
"Thriving Heath","Land","W","","false","Basri"
"Plains","Basic Land - Plains","W","","false","Basri"
"Plains","Basic Land - Plains","W","","false","Basri"
"Plains","Basic Land - Plains","W","","false","Basri"
"Plains","Basic Land - Plains","W","","false","Basri"
"Plains","Basic Land - Plains","W","","false","Basri"
"Plains","Basic Land - Plains","W","","false","Basri"
"Staunch Shieldmate","Creature - Dwarf Soldier","W","{W}","false","Basri"
"Basri's Solidarity","Sorcery","W","{1}{W}","false","Basri"
"Concordia Pegasus","Creature - Pegasus","W","{1}{W}","false","Basri"
"Feat of Resistance","Instant","W","{1}{W}","false","Basri"
"Tempered Veteran","Creature - Human Knight","W","{1}{W}","false","Basri"
"Basri Ket","Legendary Planeswalker - Basri","W","{1}{W}{W}","false","Basri"
"Legion's Judgment","Sorcery","W","{2}{W}","false","Basri"
"Siege Striker","Creature - Human Soldier","W","{2}{W}","false","Basri"
"Basri's Acolyte","Creature - Cat Cleric","W","{2}{W}{W}","false","Basri"
"Basri's Lieutenant","Creature - Human Knight","W","{3}{W}","false","Basri"
"Faith's Fetters","Enchantment - Aura","W","{3}{W}","false","Basri"
"Knight of the Tusk","Creature - Human Knight","W","{4}{W}{W}","false","Basri"
"Thriving Grove","Land","G","","false","Cats"
"Forest","Basic Land - Forest","G","","false","Cats"
"Forest","Basic Land - Forest","G","","false","Cats"
"Forest","Basic Land - Forest","G","","false","Cats"
"Forest","Basic Land - Forest","G","","false","Cats"
"Forest","Basic Land - Forest","G","","false","Cats"
"Forest","Basic Land - Forest","G","","false","Cats"
"Forest","Basic Land - Forest","G","","false","Cats"
"Initiate's Companion","Creature - Cat","G","{1}{G}","false","Cats"
"Nature's Way","Sorcery","G","{1}{G}","false","Cats"
"Crushing Canopy","Instant","G","{2}{G}","false","Cats"
"Feline Sovereign","Creature - Cat","G","{2}{G}","false","Cats"
"Feral Invocation","Enchantment - Aura","G","{2}{G}","false","Cats"
"Pouncing Cheetah","Creature - Cat","G","{2}{G}","false","Cats"
"Pridemalkin","Creature - Cat","G","{2}{G}","false","Cats"
"Canopy Stalker","Creature - Cat","G","{3}{G}","false","Cats"
"Sabertooth Mauler","Creature - Cat","G","{3}{G}","false","Cats"
"Enlarge","Sorcery","G","{3}{G}{G}","false","Cats"
"Keeper of Fables","Creature - Cat","G","{3}{G}{G}","false","Cats"
"Lurking Predators","Enchantment","G","{4}{G}{G}","false","Cats"
"Mountain","Basic Land - Mountain","R","","false","Chandra"
"Thriving Bluff","Land","R","","false","Chandra"
"Mountain","Basic Land - Mountain","R","","false","Chandra"
"Mountain","Basic Land - Mountain","R","","false","Chandra"
"Mountain","Basic Land - Mountain","R","","false","Chandra"
"Mountain","Basic Land - Mountain","R","","false","Chandra"
"Mountain","Basic Land - Mountain","R","","false","Chandra"
"Mountain","Basic Land - Mountain","R","","false","Chandra"
"Fanatical Firebrand","Creature - Goblin Pirate","R","{R}","false","Chandra"
"Pillar of Flame","Sorcery","R","{R}","false","Chandra"
"Chandra's Magmutt","Creature - Elemental Dog","R","{1}{R}","false","Chandra"
"Thrill of Possibility","Instant","R","{1}{R}","false","Chandra"
"Young Pyromancer","Creature - Human Shaman","R","{1}{R}","false","Chandra"
"Chandra's Pyreling","Creature - Elemental Lizard","R","{1}{R}","false","Chandra"
"Chandra's Magmutt","Creature - Elemental Dog","R","{1}{R}","false","Chandra"
"Flames of the Firebrand","Sorcery","R","{2}{R}","false","Chandra"
"Hungry Flames","Instant","R","{2}{R}","false","Chandra"
"Chandra, Heart of Fire","Legendary Planeswalker - Chandra","R","{3}{R}{R}","false","Chandra"
"Pyroclastic Elemental","Creature - Elemental","R","{3}{R}{R}","false","Chandra"
"Chandra's Incinerator","Creature - Elemental","R","{5}{R}","false","Chandra"
"Mountain","Basic Land - Mountain","R","","false","Devilish"
"Thriving Bluff","Land","R","","false","Devilish"
"Mountain","Basic Land - Mountain","R","","false","Devilish"
"Mountain","Basic Land - Mountain","R","","false","Devilish"
"Mountain","Basic Land - Mountain","R","","false","Devilish"
"Mountain","Basic Land - Mountain","R","","false","Devilish"
"Mountain","Basic Land - Mountain","R","","false","Devilish"
"Mountain","Basic Land - Mountain","R","","false","Devilish"
"Collateral Damage","Instant","R","{R}","false","Devilish"
"Forge Devil","Creature - Devil","R","{R}","false","Devilish"
"Chained Brute","Creature - Devil","R","{1}{R}","false","Devilish"
