"name","Type","Color","manacost","maybeboard","tags"
"Forest","Basic Land - Forest","G","","false","G – Roots"
"Forest","Basic Land - Forest","G","","false","G – Roots"
"Forest","Basic Land - Forest","G","","false","G – Roots"
"Forest","Basic Land - Forest","G","","false","G – Roots"
"Forest","Basic Land - Forest","G","","false","G – Roots"
"Forest","Basic Land - Forest","G","","false","G – Roots"
"Thriving Grove","Land","G","","false","G – Roots"
"Vermin Gorger","Creature - Vampire","B","{1}{B}","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Thriving Moor","Land","B","","false","B – Zombies"
"Kabira Crossroads","Land","W","","false","W – Doctors"
"Plains","Basic Land - Plains","W","","false","W – Trained"
"Plains","Basic Land - Plains","W","","false","W – Trained"
"Plains","Basic Land - Plains","W","","false","W – Trained"
"Plains","Basic Land - Plains","W","","false","W – Trained"
"Plains","Basic Land - Plains","W","","false","W – Trained"
"Plains","Basic Land - Plains","W","","false","W – Trained"
"Thriving Heath","Land","W","","false","W – Trained"
"Luminarch Aspirant","Creature - Human Cleric","W","{1}{W}","false","W – Trained"
"Krenko, Tin Street Kingpin","Legendary Creature - Goblin","R","{2}{R}","false","R – Equipped"
"Castle Embereth","Land","R","","false","R – Equipped"
"Mountain","Basic Land - Mountain","R","","false","R – Equipped"
"Mountain","Basic Land - Mountain","R","","false","R – Equipped"
"Mountain","Basic Land - Mountain","R","","false","R – Equipped"
"Mountain","Basic Land - Mountain","R","","false","R – Equipped"
"Thriving Bluff","Land","R","","false","R – Equipped"
"Island","Basic Land - Island","U","","false","U – Flashy"
"Island","Basic Land - Island","U","","false","U – Flashy"
"Island","Basic Land - Island","U","","false","U – Flashy"
"Island","Basic Land - Island","U","","false","U – Flashy"
"Island","Basic Land - Island","U","","false","U – Flashy"
"Island","Basic Land - Island","U","","false","U – Flashy"
"Mystic Sanctuary","Land - Island","U","","false","U – Flashy"
"Thriving Isle","Land","U","","false","U – Flashy"
"Abrade","Instant","R","{1}{R}","false","R – Fire"
"Lightning Bolt","Instant","R","{R}","false","R – Fire"
"Mountain","Basic Land - Mountain","R","","false","R – Fire"
"Mountain","Basic Land - Mountain","R","","false","R – Fire"
"Mountain","Basic Land - Mountain","R","","false","R – Fire"
"Mountain","Basic Land - Mountain","R","","false","R – Fire"
"Mountain","Basic Land - Mountain","R","","false","R – Fire"
"Mountain","Basic Land - Mountain","R","","false","R – Fire"
"Thriving Bluff","Land","R","","false","R – Fire"
"Mortuary Mire","Land","B","","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Treasures"
"Swamp","Basic Land - Swamp","B","","false","B – Treasures"
"Swamp","Basic Land - Swamp","B","","false","B – Treasures"
"Swamp","Basic Land - Swamp","B","","false","B – Treasures"
"Swamp","Basic Land - Swamp","B","","false","B – Treasures"
"Thriving Moor","Land","B","","false","B – Treasures"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Thriving Isle","Land","U","","false","U – Wizards"
"Ephemerate","Instant","W","{W}","false","W – Blinking"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Thriving Heath","Land","W","","false","W – Blinking"
"Werefox Bodyguard","Creature - Elf Fox Knight","W","{1}{W}{W}","false","W – Blinking"
"Flickerwisp","Creature - Elemental","W","{1}{W}{W}","false","W – Blinking"
"Bone Shards","Sorcery","B","{B}","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Reanimate"
"Thriving Moor","Land","B","","false","B – Reanimate"
"Castle Ardenvale","Land","W","","false","W – Army"
"Plains","Basic Land - Plains","W","","false","W – Army"
"Plains","Basic Land - Plains","W","","false","W – Army"
"Plains","Basic Land - Plains","W","","false","W – Army"
"Plains","Basic Land - Plains","W","","false","W – Army"
"Plains","Basic Land - Plains","W","","false","W – Army"
"Thriving Heath","Land","W","","false","W – Army"
"Ancient Den","Artifact Land","W","","false","W – Army"
"Herd Baloth","Creature - Beast","G","{3}{G}{G}","false","G – Grow"
"Forest","Basic Land - Forest","G","","false","G – Grow"
"Forest","Basic Land - Forest","G","","false","G – Grow"
"Forest","Basic Land - Forest","G","","false","G – Grow"
"Forest","Basic Land - Forest","G","","false","G – Grow"
"Forest","Basic Land - Forest","G","","false","G – Grow"
"Thriving Grove","Land","G","","false","G – Grow"
"Forest","Basic Land - Forest","G","","false","G – Tasty"
"Forest","Basic Land - Forest","G","","false","G – Tasty"
"Forest","Basic Land - Forest","G","","false","G – Tasty"
"Forest","Basic Land - Forest","G","","false","G – Tasty"
"Forest","Basic Land - Forest","G","","false","G – Tasty"
"Forest","Basic Land - Forest","G","","false","G – Tasty"
"Thriving Grove","Land","G","","false","G – Tasty"
"Prosperous Innkeeper","Creature - Halfling Citizen","G","{1}{G}","false","G – Tasty"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Thriving Bluff","Land","R","","false","R – Dragons"
"Executioner's Capsule","Artifact","B","{B}","false","B – Treasures"
"Weaponcraft Enthusiast","Creature - Aetherborn Artificer","B","{2}{B}","false","B – Treasures"
"Marionette Master","Creature - Human Artificer","B","{4}{B}{B}","false","B – Treasures"
"Galvanic Blast","Instant","R","{R}","false","R – Scrap"
"Ichor Wellspring","Artifact","","{2}","false","R – Scrap"
"Great Furnace","Artifact Land","R","","false","R – Scrap"
"Mountain","Basic Land - Mountain","R","","false","R – Scrap"
"Mountain","Basic Land - Mountain","R","","false","R – Scrap"
"Mountain","Basic Land - Mountain","R","","false","R – Scrap"
"Mountain","Basic Land - Mountain","R","","false","R – Scrap"
"Mountain","Basic Land - Mountain","R","","false","R – Scrap"
"Mountain","Basic Land - Mountain","R","","false","R – Scrap"
"Thriving Bluff","Land","R","","false","R – Scrap"
"Faithless Looting","Sorcery","R","{R}","false","R – Fire"
"Feldon of the Third Path","Legendary Creature - Human Artificer","R","{1}{R}{R}","false","R – Scrap"
"Goblin Welder","Creature - Goblin Artificer","R","{R}","false","R – Scrap"
"Darksteel Citadel","Artifact Land","","","false","U – Mechanic"
"Island","Basic Land - Island","U","","false","U – Mechanic"
"Island","Basic Land - Island","U","","false","U – Mechanic"
"Island","Basic Land - Island","U","","false","U – Mechanic"
"Island","Basic Land - Island","U","","false","U – Mechanic"
"Island","Basic Land - Island","U","","false","U – Mechanic"
"Seat of the Synod","Artifact Land","U","","false","U – Mechanic"
"Thriving Isle","Land","U","","false","U – Mechanic"
"Ensoul Artifact","Enchantment - Aura","U","{1}{U}","false","U – Mechanic"
"Thopter Spy Network","Enchantment","U","{2}{U}{U}","false","U – Mechanic"
"Rise and Shine","Sorcery","U","{1}{U}","false","U – Mechanic"
"Skilled Animator","Creature - Human Artificer","U","{2}{U}","false","U – Mechanic"
"Whirler Rogue","Creature - Human Rogue Artificer","U","{2}{U}{U}","false","U – Mechanic"
"Servo Schematic","Artifact","","{2}","false","R – Scrap"
"Smell Fear","Sorcery","G","{1}{G}","false","G – Grow"
"Conclave Tribunal","Enchantment","W","{3}{W}","false","W – Doctors"
"Arcbound Slasher","Artifact Creature - Cat","R","{4}{R}","false","R – Scrap"
"Demanding Dragon","Creature - Dragon","R","{3}{R}{R}","false","R – Dragons"
"Brazen Borrower","Creature - Faerie Rogue","U","{1}{U}{U}","false","U – Flashy"
"Bonecrusher Giant","Creature - Giant","R","{2}{R}","false","R – Fire"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Mountain","Basic Land - Mountain","R","","false","R – Equipped"
"Forest","Basic Land - Forest","G","","false","G – Grow"
"Angel of Invention","Creature - Angel","W","{3}{W}{W}","false","W – Army"
"Fell Stinger","Creature - Zombie Scorpion","B","{2}{B}","false","B – Zombies"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Evolving Wilds","Land","","","false","G – Roots"
"Dread Return","Sorcery","B","{2}{B}{B}","false","B – Reanimate"
"Secluded Steppe","Land","W","","false","W – Trained"
"Secluded Steppe","Land","W","","false","W – Blinking"
"Secluded Steppe","Land","W","","false","W – Army"
"Barren Moor","Land","B","","false","B – Zombies"
"Barren Moor","Land","B","","false","B – Treasures"
"Barren Moor","Land","B","","false","B – Reanimate"
"Tranquil Thicket","Land","G","","false","G – Roots"
"Tranquil Thicket","Land","G","","false","G – Grow"
"Tranquil Thicket","Land","G","","false","G – Tasty"
"Forgotten Cave","Land","R","","false","R – Equipped"
"Forgotten Cave","Land","R","","false","R – Fire"
"Forgotten Cave","Land","R","","false","R – Scrap"
"Forgotten Cave","Land","R","","false","R – Dragons"
"Lonely Sandbar","Land","U","","false","U – Flashy"
"Lonely Sandbar","Land","U","","false","U – Wizards"
"Lonely Sandbar","Land","U","","false","U – Mechanic"
"Thraben Inspector","Creature - Human Soldier","W","{W}","false","W – Blinking"
"Circuit Mender","Artifact Creature - Insect","","{3}","false","W – Blinking"
"Bonesplitter","Artifact - Equipment","","{1}","false","R – Equipped"
"Duskshell Crawler","Creature - Insect","G","{1}{G}","false","G – Grow"
"Dragon's Rage Channeler","Creature - Human Shaman","R","{R}","false","R – Fire"
"Heartfire Immolator","Creature - Human Wizard","R","{1}{R}","false","R – Fire"
"Pia and Kiran Nalaar","Legendary Creature - Human Artificer","R","{2}{R}{R}","false","R – Scrap"
"Siege-Gang Commander","Creature - Goblin","R","{3}{R}{R}","false","R – Equipped"
"Mirrorshell Crab","Artifact Creature - Crab","U","{5}{U}{U}","false","U – Flashy"
"Zephyr Boots","Artifact - Equipment","","{1}","false","R – Equipped"
"Smuggler's Copter","Artifact - Vehicle","","{2}","false","U – Mechanic"
"Shrapnel Blast","Instant","R","{1}{R}","false","R – Scrap"
"Heirloom Blade","Artifact - Equipment","","{3}","false","R – Equipped"
"Occult Epiphany","Instant","U","{X}{U}","false","U – Flashy"
"Treasure Vault","Artifact Land","","","false","B – Treasures"
"Academy Manufactor","Artifact Creature - Assembly-Worker","","{3}","false","G – Tasty"
"Undead Butler","Creature - Zombie","B","{1}{B}","false","B – Reanimate"
"Karn's Bastion","Land","","","false","G – Grow"
"Abzan Falconer","Creature - Human Soldier","W","{2}{W}","false","W – Trained"
"Mountain","Basic Land - Mountain","R","","false","R – Equipped"
"Counterspell","Instant","U","{U}{U}","false","U – Flashy"
"Skullport Merchant","Creature - Dwarf Citizen","B","{2}{B}","false","B – Treasures"
"Myr Retriever","Artifact Creature - Myr","","{2}","false","R – Scrap"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Swamp","Basic Land - Swamp","B","","false","B – Treasures"
"Swamp","Basic Land - Swamp","B","","false","B – Treasures"
"Forest","Basic Land - Forest","G","","false","G – Grow"
"Forest","Basic Land - Forest","G","","false","G – Roots"
"Mountain","Basic Land - Mountain","R","","false","R – Scrap"
"Mountain","Basic Land - Mountain","R","","false","R – Fire"
"Mountain","Basic Land - Mountain","R","","false","R – Dragons"
"Island","Basic Land - Island","U","","false","U – Flashy"
"Island","Basic Land - Island","U","","false","U – Mechanic"
"Island","Basic Land - Island","U","","false","U – Wizards"
"Plains","Basic Land - Plains","W","","false","W – Army"
"Plains","Basic Land - Plains","W","","false","W – Trained"
"Plains","Basic Land - Plains","W","","false","W – Blinking"
"Spikeshot Elder","Creature - Goblin Shaman","R","{R}","false","R – Equipped"
"Servo Exhibition","Sorcery","W","{1}{W}","false","W – Army"
"Reassembling Skeleton","Creature - Skeleton Warrior","B","{1}{B}","false","B – Zombies"
"Meteor Golem","Artifact Creature - Golem","","{7}","false","R – Scrap"
"Prizefight","Instant","G","{1}{G}","false","G – Tasty"
"Darksteel Axe","Artifact - Equipment","","{1}","false","U – Mechanic"
"Monastery Swiftspear","Creature - Human Monk","R","{R}","false","R – Fire"
"Lightning Strike","Instant","R","{1}{R}","false","R – Fire"
"Big Score","Instant","R","{3}{R}","false","R – Dragons"
"Sword Coast Serpent","Creature - Serpent Dragon","U","{5}{U}{U}","false","U – Flashy"
"Greatsword of Tyr","Artifact - Equipment","W","{1}{W}","false","W – Trained"
"Diamond Pick-Axe","Artifact - Equipment","R","{R}","false","R – Equipped"
"Rishkar, Peema Renegade","Legendary Creature - Elf Druid","G","{2}{G}","false","G – Grow"
"Scurry Oak","Creature - Treefolk","G","{2}{G}","false","G – Grow"
"Faerie Seer","Creature - Faerie Wizard","U","{U}","false","U – Wizards"
"Patron of the Arts","Creature - Dragon Noble","R","{2}{R}","false","R – Dragons"
"Prized Statue","Artifact","","{2}","false","B – Treasures"
"Bonehoard","Artifact - Equipment","","{4}","false","G – Roots"
"Reclamation Sage","Creature - Elf Shaman","G","{2}{G}","false","G – Jumping"
"Staff of the Storyteller","Artifact","W","{1}{W}","false","W – Army"
"Ainok Bond-Kin","Creature - Dog Soldier","W","{1}{W}","false","W – Trained"
"Simian Simulacrum","Artifact Creature - Ape","G","{3}","false","G – Grow"
"Blade Splicer","Creature - Phyrexian Human Artificer","W","{2}{W}","false","W – Blinking"
"Swashbuckler Extraordinaire","Creature - Dragon Rogue Warrior","R","{2}{R}","false","R – Dragons"
"Blaze","Sorcery","R","{X}{R}","false","R – Dragons"
"Ganax, Astral Hunter","Legendary Creature - Dragon","R","{4}{R}","false","R – Dragons"
"Scrapwork Mutt","Artifact Creature - Dog","R","{2}","false","R – Scrap"
"Daretti, Rocketeer Engineer","Legendary Creature - Goblin Artificer","R","{4}{R}","false","R – Scrap"
"Levitating Statue","Artifact","","{2}","false","R – Fire"
"Recommission","Sorcery","W","{1}{W}","false","W – Trained"
"Sarinth Steelseeker","Creature - Human Artificer Scout","G","{1}{G}","false","G – Tasty"
"Grim Hireling","Creature - Tiefling Rogue","B","{3}{B}","false","B – Treasures"
"Mire Triton","Creature - Zombie Merfolk","B","{1}{B}","false","B – Reanimate"
"Swamp","Basic Land - Swamp","B","","false","B – Zombies"
"Planar Incision","Instant","U","{1}{U}","false","U – Wizards"
"Aether Channeler","Creature - Human Wizard","U","{2}{U}","false","U – Wizards"
"Iron Apprentice","Artifact Creature - Construct","","{1}","false","W – Trained"
"Skullclamp","Artifact - Equipment","","{1}","false","R – Equipped"
"Visionary Augmenter","Creature - Dwarf Artificer","W","{2}{W}{W}","false","W – Army"
"Cankerbloom","Creature - Phyrexian Fungus","G","{1}{G}","false","G – Roots"
"Bristly Bill, Spine Sower","Legendary Creature - Plant Druid","G","{1}{G}","false","G – Grow"
"Bannerhide Krushok","Creature - Beast","G","{3}{G}","false","G – Roots"
"Tough Cookie","Artifact Creature - Food Golem","G","{1}{G}","false","G – Tasty"
"Thirsting Roots","Sorcery","G","{G}","false","G – Grow"
"Teething Wurmlet","Creature - Wurm","G","{G}","false","G – Tasty"
"Retrofitter Foundry","Artifact","","{1}","false","W – Army"
"Conclave Tribunal","Enchantment","W","{3}{W}","false",""
"Dispatch","Instant","W","{W}","false","W – Army"
"Ancient Den","Artifact Land","W","","false","W – Doctors"
"Thriving Heath","Land","W","","false","W – Doctors"
"Secluded Steppe","Land","W","","false","W – Doctors"
"Plains","Basic Land - Plains","W","","false","W – Doctors"
"Plains","Basic Land - Plains","W","","false","W – Doctors"
"Plains","Basic Land - Plains","W","","false","W – Doctors"
"Plains","Basic Land - Plains","W","","false","W – Doctors"
