"name","Type","Color","manacost","maybeboard","tags"
"Dire Fleet Hoarder","Creature - Human Pirate","B","{1}{B}","false","B - Devotion"
"Gray Merchant of Asphodel","Creature - Zombie","B","{3}{B}{B}","false","B - Devotion"
"Prophetic Prism","Artifact","","{2}","false","B - Devotion"
"Shambling Ghast","Creature - Zombie","B","{B}","false","B - Devotion"
"Skullport Merchant","Creature - Dwarf Citizen","B","{2}{B}","false","B - Devotion"
"Stab Wound","Enchantment - Aura","B","{2}{B}","false","B - Devotion"
"Swamp","Basic Land - Swamp","B","","false","B - Devotion"
"Swamp","Basic Land - Swamp","B","","false","B - Devotion"
"Swamp","Basic Land - Swamp","B","","false","B - Devotion"
"Swamp","Basic Land - Swamp","B","","false","B - Devotion"
"Swamp","Basic Land - Swamp","B","","false","B - Devotion"
"Swamp","Basic Land - Swamp","B","","false","B - Devotion"
"Swamp","Basic Land - Swamp","B","","false","B - Devotion"
"Thriving Moor","Land","B","","false","B - Devotion"
"Augur of Bolas","Creature - Merfolk Wizard","U","{1}{U}","false","U - Delver"
"Brainstorm","Instant","U","{U}","false","U - Delver"
"Delver of Secrets","Creature - Human Wizard","U","{U}","false","U - Delver"
"Island","Basic Land - Island","U","","false","U - Delver"
"Island","Basic Land - Island","U","","false","U - Delver"
"Island","Basic Land - Island","U","","false","U - Delver"
"Island","Basic Land - Island","U","","false","U - Delver"
"Island","Basic Land - Island","U","","false","U - Delver"
"Island","Basic Land - Island","U","","false","U - Delver"
"Island","Basic Land - Island","U","","false","U - Delver"
"Remand","Instant","U","{1}{U}","false","U - Delver"
"Runechanter's Pike","Artifact - Equipment","","{2}","false","U - Delver"
"Talrand, Sky Summoner","Legendary Creature - Merfolk Wizard","U","{2}{U}{U}","false","U - Delver"
"Thriving Isle","Land","U","","false","U - Delver"
"Vapor Snag","Instant","U","{U}","false","U - Delver"
"Etherium Sculptor","Artifact Creature - Vedalken Artificer","U","{1}{U}","false","U - Metalcraft"
"Foundry of the Consuls","Land","","","false","U - Metalcraft"
"Grand Architect","Creature - Vedalken Artificer","U","{1}{U}{U}","false","U - Metalcraft"
"Island","Basic Land - Island","U","","false","U - Metalcraft"
"Island","Basic Land - Island","U","","false","U - Metalcraft"
"Island","Basic Land - Island","U","","false","U - Metalcraft"
"Island","Basic Land - Island","U","","false","U - Metalcraft"
"Myr Battlesphere","Artifact Creature - Myr Construct","","{7}","false","U - Metalcraft"
"Seat of the Synod","Artifact Land","U","","false","U - Metalcraft"
"Seat of the Synod","Artifact Land","U","","false","U - Metalcraft"
"Stoic Rebuttal","Instant","U","{1}{U}{U}","false","U - Metalcraft"
"Thriving Isle","Land","U","","false","U - Metalcraft"
"Vedalken Certarch","Creature - Vedalken Wizard","U","{U}","false","U - Metalcraft"
"Island","Basic Land - Island","U","","false","U - Merfolk"
"Island","Basic Land - Island","U","","false","U - Merfolk"
"Island","Basic Land - Island","U","","false","U - Merfolk"
"Island","Basic Land - Island","U","","false","U - Merfolk"
"Island","Basic Land - Island","U","","false","U - Merfolk"
"Island","Basic Land - Island","U","","false","U - Merfolk"
"Mana Leak","Instant","U","{1}{U}","false","U - Delver"
"Merfolk Sovereign","Creature - Merfolk Noble","U","{1}{U}{U}","false","U - Merfolk"
"Merrow Reejerey","Creature - Merfolk Soldier","U","{2}{U}","false","U - Merfolk"
"Silvergill Adept","Creature - Merfolk Wizard","U","{1}{U}","false","U - Merfolk"
"Sleep","Sorcery","U","{2}{U}{U}","false","U - Merfolk"
"Thriving Isle","Land","U","","false","U - Merfolk"
"Island","Basic Land - Island","U","","false","U - Ninjas"
"Island","Basic Land - Island","U","","false","U - Ninjas"
"Island","Basic Land - Island","U","","false","U - Ninjas"
"Island","Basic Land - Island","U","","false","U - Ninjas"
"Island","Basic Land - Island","U","","false","U - Ninjas"
"Island","Basic Land - Island","U","","false","U - Ninjas"
"Levitation","Enchantment","U","{2}{U}{U}","false","U - Ninjas"
"Mist-Cloaked Herald","Creature - Merfolk Warrior","U","{U}","false","U - Ninjas"
"Mistblade Shinobi","Creature - Human Ninja","U","{2}{U}","false","U - Ninjas"
"Moon-Circuit Hacker","Enchantment Creature - Human Ninja","U","{1}{U}","false","U - Ninjas"
"Ninja of the Deep Hours","Creature - Human Ninja","U","{3}{U}","false","U - Ninjas"
"Thousand-Faced Shadow","Creature - Human Ninja","U","{U}","false","U - Ninjas"
"Thriving Isle","Land","U","","false","U - Ninjas"
"Air Elemental","Creature - Elemental","U","{3}{U}{U}","false","U - Basic Blue"
"Clone","Creature - Shapeshifter","U","{3}{U}","false","U - Basic Blue"
"Counterspell","Instant","U","{U}{U}","false","U - Basic Blue"
"Island","Basic Land - Island","U","","false","U - Basic Blue"
"Island","Basic Land - Island","U","","false","U - Basic Blue"
"Island","Basic Land - Island","U","","false","U - Basic Blue"
"Island","Basic Land - Island","U","","false","U - Basic Blue"
"Island","Basic Land - Island","U","","false","U - Basic Blue"
"Island","Basic Land - Island","U","","false","U - Basic Blue"
"Island","Basic Land - Island","U","","false","U - Basic Blue"
"Thought Courier","Creature - Human Wizard","U","{1}{U}","false","U - Basic Blue"
"Thriving Isle","Land","U","","false","U - Basic Blue"
"Turn to Frog","Instant","U","{1}{U}","false","U - Basic Blue"
"Forest","Basic Land - Forest","G","","false","G - Ferocious"
"Forest","Basic Land - Forest","G","","false","G - Ferocious"
"Forest","Basic Land - Forest","G","","false","G - Ferocious"
"Forest","Basic Land - Forest","G","","false","G - Ferocious"
"Forest","Basic Land - Forest","G","","false","G - Ferocious"
"Frontier Mastodon","Creature - Elephant","G","{2}{G}","false","G - Ferocious"
"Heir of the Wilds","Creature - Human Warrior","G","{1}{G}","false","G - Ferocious"
"Roar of Challenge","Sorcery","G","{2}{G}","false","G - Ferocious"
"Savage Punch","Sorcery","G","{1}{G}","false","G - Ferocious"
"See the Unwritten","Sorcery","G","{4}{G}{G}","false","G - Ferocious"
"Stampeding Elk Herd","Creature - Elk","G","{3}{G}{G}","false","G - Ferocious"
"Surrak, the Hunt Caller","Legendary Creature - Human Warrior","G","{2}{G}{G}","false","G - Ferocious"
"Thriving Grove","Land","G","","false","G - Ferocious"
"Whisperer of the Wilds","Creature - Human Shaman","G","{1}{G}","false","G - Ferocious"
"Adventuring Gear","Artifact - Equipment","","{1}","false","G - Landfall"
"Canopy Baloth","Creature - Beast","G","{3}{G}","false","G - Landfall"
"Forest","Basic Land - Forest","G","","false","G - Landfall"
"Forest","Basic Land - Forest","G","","false","G - Landfall"
"Forest","Basic Land - Forest","G","","false","G - Landfall"
"Forest","Basic Land - Forest","G","","false","G - Landfall"
"Forest","Basic Land - Forest","G","","false","G - Landfall"
"Forest","Basic Land - Forest","G","","false","G - Landfall"
"Harrow","Instant","G","{2}{G}","false","G - Landfall"
"Khalni Heart Expedition","Enchantment","G","{1}{G}","false","G - Landfall"
"Lotus Cobra","Creature - Snake","G","{1}{G}","false","G - Landfall"
"Rampaging Baloths","Creature - Beast","G","{4}{G}{G}","false","G - Landfall"
"Snapping Gnarlid","Creature - Beast","G","{1}{G}","false","G - Landfall"
"Time to Feed","Sorcery","G","{2}{G}","false","G - Landfall"
"Forest","Basic Land - Forest","G","","false","G - Saprolings"
"Forest","Basic Land - Forest","G","","false","G - Saprolings"
"Forest","Basic Land - Forest","G","","false","G - Saprolings"
"Forest","Basic Land - Forest","G","","false","G - Saprolings"
"Forest","Basic Land - Forest","G","","false","G - Saprolings"
"Forest","Basic Land - Forest","G","","false","G - Saprolings"
"Forest","Basic Land - Forest","G","","false","G - Saprolings"
"Saproling Migration","Sorcery","G","{1}{G}","false","G - Saprolings"
