"name","Type","Color","manacost","maybeboard","tags"
"Stoneforge Mystic","Creature - Kor Artificer","W","{1}{W}","false","W - Kaldra Kitties"
"Kor Spiritdancer","Creature - Kor Wizard","W","{1}{W}","false","W - Heroic Destiny"
"Angelic Destiny","Enchantment - Aura","W","{2}{W}{W}","false","W - Heroic Destiny"
"Hyena Umbra","Enchantment - Aura","W","{W}","false","W - Heroic Destiny"
"Captain of the Watch","Creature - Human Soldier","W","{4}{W}{W}","false","W - Soldier Supremacy"
"Thalia, Heretic Cathar","Legendary Creature - Human Soldier","W","{2}{W}","false","W - The Law"
"Sword of Sinew and Steel","Artifact - Equipment","","{3}","false","z_Kvatch Koffers"
"Serra the Benevolent","Legendary Planeswalker - Serra","W","{2}{W}{W}","false","WU - Angelic Flashers"
"Balance","Sorcery","W","{1}{W}","false","W - Santa"
"Ninja of the Deep Hours","Creature - Human Ninja","U","{3}{U}","false","U - Ninjutsu"
"Sword of Fire and Ice","Artifact - Equipment","","{3}","false","z_Kvatch Koffers"
"Thassa, God of the Sea","Legendary Creature - God","U","{2}{U}","false","UG - Sea Monsters"
"Faerie Seer","Creature - Faerie Wizard","U","{U}","false","U - Ninjutsu"
"Snapcaster Mage","Creature - Human Wizard","U","{1}{U}","false","U - Flashbacks"
"Ponder","Sorcery","U","{U}","false","U - Flashbacks"
"Emry, Lurker of the Loch","Legendary Creature - Merfolk Wizard","U","{2}{U}","false","U - Urza's Toy Box"
"Akroma's Memorial","Legendary Artifact","","{7}","false","z_Kvatch Koffers"
"Urza, Lord High Artificer","Commander","U","{2}{U}{U}","false","U - Urza's Toy Box;zz_Commander"
"Mana Drain","Instant","U","{U}{U}","false","U - Cheat & Steal"
"Mana Crypt","Artifact","","{0}","false","z_Kvatch Koffers"
"Howling Mine","Artifact","","{2}","false","U - Draw Together"
"Platinum Angel","Artifact Creature - Angel","","{7}","false","z_Kvatch Koffers"
"Whirler Rogue","Creature - Human Rogue Artificer","U","{2}{U}{U}","false","U - Robot Chickens"
"Tezzeret, Artifice Master","Legendary Planeswalker - Tezzeret","U","{3}{U}{U}","false","U - Robot Chickens"
"Retrofitter Foundry","Artifact","","{1}","false","U - Robot Chickens"
"Eivor, Raven Clan Champion","Legendary Creature - Human Warrior","R","","false","R - All Out Attack"
"Kargan Intimidator","Creature - Human Warrior","R","{1}{R}","false","R - All Out Attack"
"Moraug, Fury of Akoum","Legendary Creature - Minotaur Warrior","R","{4}{R}{R}","false","R - All Out Attack"
"Soul-Scar Mage","Creature - Human Wizard","R","{R}","false","R - Chandra's Pyros"
"Dragon's Rage Channeler","Creature - Human Shaman","R","{R}","false","R - Chandra's Pyros"
"Heartfire Immolator","Creature - Human Wizard","R","{1}{R}","false","R - Chandra's Pyros"
"Burning Prophet","Creature - Human Wizard","R","{1}{R}","false","R - Chandra's Pyros"
"Fiery Confluence","Sorcery","R","{2}{R}{R}","false","R - Chandra's Pyros"
"Harmonic Prodigy","Creature - Human Wizard","R","{1}{R}","false","R - Chandra's Pyros"
"Exploration","Enchantment","G","{G}","false","G - Nissa's Landfall"
"Heartbeat of Spring","Enchantment","G","{2}{G}","false","G - Dino Beatdown"
"Destiny Spinner","Creature - Human","G","{1}{G}","false","G - Enchantresses"
"Setessan Champion","Creature - Human Warrior","G","{2}{G}","false","G - Enchantresses"
