"name","Type","Color","manacost","maybeboard","tags"
"Benalish Hero","Creature - Human Soldier","W","{W}","false","WHT Knight"
"Savannah Lions","Creature - Cat","W","{W}","false","WHT Knight"
"Amrou Kithkin","Creature - Kithkin","W","{W}{W}","false","WHT Knight"
"Mesa Pegasus","Creature - Pegasus","W","{1}{W}","false","WHT Knight"
"Order of Leitbur","Creature - Human Cleric Knight","W","{W}{W}","false","WHT Destruction"
"Pikemen","Creature - Human Soldier","W","{1}{W}","false","WHT Knight"
"Samite Healer","Creature - Human Cleric","W","{1}{W}","false","WHT Destruction"
"White Knight","Creature - Human Knight","W","{W}{W}","false","WHT Knight"
"Blinking Spirit","Creature - Spirit","W","{3}{W}","false","WHT Destruction"
"Witch Hunter","Creature - Human Cleric","W","{2}{W}{W}","false","WHT Destruction"
"Serra Angel","Creature - Angel","W","{3}{W}{W}","false","WHT Knight"
"Personal Incarnation","Creature - Avatar Incarnation","W","{3}{W}{W}{W}","false","WHT Destruction"
"Holy Day","Instant","W","{W}","false","WHT Knight"
"Righteousness","Instant","W","{W}","false","WHT Knight"
"Swords to Plowshares","Instant","W","{W}","false","WHT Knight"
"Swords to Plowshares","Instant","W","{W}","false","WHT Destruction"
"Disenchant","Instant","W","{1}{W}","false","WHT Knight"
"Balance","Sorcery","W","{1}{W}","false","WHT Destruction"
"Resurrection","Sorcery","W","{2}{W}{W}","false","WHT Destruction"
"Wrath of God","Sorcery","W","{2}{W}{W}","false","WHT Destruction"
"Holy Strength","Enchantment - Aura","W","{W}","false","WHT Destruction"
"Spirit Link","Enchantment - Aura","W","{W}","false","WHT Destruction"
"Crusade","Enchantment","W","{W}{W}","false","WHT Knight"
"Kismet","Enchantment","W","{3}{W}","false","WHT Destruction"
"Flying Men","Creature - Human","U","{U}","false","BLU Counter"
"Merfolk of the Pearl Trident","Creature - Merfolk","U","{U}","false","BLU Merfolk"
"Lord of Atlantis","Creature - Merfolk","U","{U}{U}","false","BLU Merfolk"
"Lord of Atlantis","Creature - Merfolk","U","{U}{U}","false","BLU Merfolk"
"Merfolk Assassin","Creature - Merfolk Assassin","U","{U}{U}","false","BLU Merfolk"
"River Merfolk","Creature - Merfolk","U","{U}{U}","false","BLU Merfolk"
