"name","Type","Color","manacost","maybeboard","tags"
"Mother of Runes","Creature - Human Cleric","W","{W}","false","Rebels"
"Plated Sliver","Creature - Sliver","W","{W}","false","Slivers"
"Ramosian Sergeant","Creature - Human Rebel","W","{W}","false","Rebels"
"Weathered Wayfarer","Creature - Human Nomad Cleric","W","{W}","false","Terrageddon"
"Defiant Falcon","Creature - Rebel Bird","W","{1}{W}","false","Rebels"
"Talon Sliver","Creature - Sliver","W","{1}{W}","false","Slivers"
"Whipcorder","Creature - Human Soldier Rebel","W","{W}{W}","false","Rebels"
"Defiant Vanguard","Creature - Human Rebel","W","{2}{W}","false","Rebels"
"Lin Sivvi, Defiant Hero","Legendary Creature - Human Rebel","W","{1}{W}{W}","false","Rebels"
"Thermal Glider","Creature - Human Rebel","W","{2}{W}","false","Rebels"
"Ramosian Sky Marshal","Creature - Human Rebel","W","{3}{W}{W}","false","Rebels"
"Exalted Angel","Creature - Angel","W","{4}{W}{W}","false","Oath"
"Exalted Angel","Creature - Angel","W","{4}{W}{W}","false","Deadguy Ale"
"Jhovall Queen","Creature - Cat Rebel","W","{4}{W}{W}","false","Rebels"
"Eternal Dragon","Creature - Dragon Spirit","W","{5}{W}{W}","false","Astral Slide"
"Enlightened Tutor","Instant","W","{W}","false","Oath"
"Enlightened Tutor","Instant","W","{W}","false","Deadguy Ale"
"Enlightened Tutor","Instant","W","{W}","false","Astral Slide"
"Swords to Plowshares","Instant","W","{W}","false","Slivers"
"Swords to Plowshares","Instant","W","{W}","false","Rebels"
"Swords to Plowshares","Instant","W","{W}","false","Oath"
"Swords to Plowshares","Instant","W","{W}","false","Landstill"
"Swords to Plowshares","Instant","W","{W}","false","Terrageddon"
"Swords to Plowshares","Instant","W","{W}","false","Astral Slide"
"Disenchant","Instant","W","{1}{W}","false","Rebels"
"Disenchant","Instant","W","{1}{W}","false","Terrageddon"
"Renewed Faith","Instant","W","{2}{W}","false","Astral Slide"
"Armageddon","Sorcery","W","{3}{W}","false","Terrageddon"
"Cataclysm","Sorcery","W","{2}{W}{W}","false","Oath"
"Cataclysm","Sorcery","W","{2}{W}{W}","false","Terrageddon"
"Decree of Justice","Sorcery","W","{X}{X}{2}{W}{W}","false","Landstill"
"Decree of Justice","Sorcery","W","{X}{X}{2}{W}{W}","false","Astral Slide"
"Replenish","Sorcery","W","{3}{W}","false","Enchantress"
"Rune of Protection: Red","Enchantment","W","{1}{W}","false","Astral Slide"
"Seal of Cleansing","Enchantment","W","{1}{W}","false","Oath"
"Seal of Cleansing","Enchantment","W","{1}{W}","false","Enchantress"
"Seal of Cleansing","Enchantment","W","{1}{W}","false","Deadguy Ale"
"Seal of Cleansing","Enchantment","W","{1}{W}","false","Terrageddon"
"Seal of Cleansing","Enchantment","W","{1}{W}","false","Astral Slide"
"Shared Triumph","Enchantment","W","{1}{W}","false","Rebels"
"Aura of Silence","Enchantment","W","{1}{W}{W}","false","Enchantress"
"Solitary Confinement","Enchantment","W","{2}{W}","false","Enchantress"
"Humility","Enchantment","W","{2}{W}{W}","false","Landstill"
"Humility","Enchantment","W","{2}{W}{W}","false","Astral Slide"
"Opalescence","Enchantment","W","{2}{W}{W}","false","Enchantress"
"Parallax Wave","Enchantment","W","{2}{W}{W}","false","Enchantress"
"Aquamoeba","Creature - Elemental Beast","U","{1}{U}","false","Madness"
"Winged Sliver","Creature - Sliver","U","{1}{U}","false","Slivers"
"Wonder","Creature - Incarnation","U","{3}{U}","false","Madness"
"Wonder","Creature - Incarnation","U","{3}{U}","false","Psychatog"
"Synapse Sliver","Creature - Sliver","U","{4}{U}","false","Slivers"
"Chain of Vapor","Instant","U","{U}","false","Stiflenought"
"Chain of Vapor","Instant","U","{U}","false","Stasis"
"Force Spike","Instant","U","{U}","false","Psychatog"
"Force Spike","Instant","U","{U}","false","Landstill"
