"name","Type","Color","manacost","maybeboard","tags"
"Akrasan Squire","Creature - Human Soldier","W","{W}","false","W - Exalted"
"Arcbound Javelineer","Artifact Creature - Soldier","W","{W}","false","W - Heavily Armored 2"
"Archpriest of Iona","Creature - Human Cleric","W","{W}","false","GW - Party Time"
"Boros Elite","Creature - Human Soldier","W","{W}","false","W - Attack!"
"Champion of the Parish","Creature - Human Soldier","W","{W}","false","W - Humans"
"Crawling Chorus","Creature - Phyrexian Horror","W","{W}","false","W - Phyrexian"
"Doomed Traveler","Creature - Human Soldier","W","{W}","false","W - Tokens 1"
"Esper Sentinel","Artifact Creature - Human Soldier","W","{W}","false","W - Artifacts"
"Expedition Envoy","Creature - Human Scout Ally","W","{W}","false","W - Allies"
"Faerie Guidemother","Creature - Faerie","W","{W}","false","W - Flyers"
"Favored Hoplite","Creature - Human Soldier","W","{W}","false","W - Heroic"
"Favored Hoplite","Creature - Human Soldier","W","{W}","false","RW - Heroic"
"Favored Hoplite","Creature - Human Soldier","W","{W}","false","WU - Heroic"
"Flourishing Fox","Creature - Fox","W","{W}","false","W - Cycling"
"Giant Killer","Creature - Human Peasant","W","{W}","false","GWU - Adventures"
"Giver of Runes","Creature - Kor Cleric","W","{W}","false","W - Clerics"
"Hada Freeblade","Creature - Human Soldier Ally","W","{W}","false","W - Allies"
"Herald of Anafenza","Creature - Human Soldier","W","{W}","false","W - Tokens 2"
"Hopeful Initiate","Creature - Human Warlock","W","{W}","false","W - Heavily Armored 1"
"Hotshot Mechanic","Artifact Creature - Fox Pilot","W","{W}","false","WU - Vehicles"
"Kor Duelist","Creature - Kor Soldier","W","{W}","false","W - Equipment 2"
"Lagonna-Band Trailblazer","Creature - Centaur Scout","W","{W}","false","W - Heroic"
"Leonin Vanguard","Creature - Cat Soldier","W","{W}","false","W - Cats"
"Mikaeus, the Lunarch","Legendary Creature - Human Cleric","W","{X}{W}","false","W - Heavily Armored 2"
"Mikaeus, the Lunarch","Legendary Creature - Human Cleric","W","{X}{W}","false","W - Legendary"
"Ramosian Sergeant","Creature - Human Rebel","W","{W}","false","W - Rebels"
