"name","Type","Color","manacost","maybeboard","tags"
"Dauntless Bodyguard","Creature - Human Knight","W","{W}","false","W - Taxes"
"Doomed Traveler","Creature - Human Soldier","W","{W}","false","W - Soldiers"
"Favored Hoplite","Creature - Human Soldier","W","{W}","false","WR - Heroic"
"Gideon's Lawkeeper","Creature - Human Soldier","W","{W}","false","W - Taxes"
"Infantry Veteran","Creature - Human Soldier","W","{W}","false","W - Soldiers"
"Martyred Rusalka","Creature - Spirit","W","{W}","false","WG - Populate"
"Selfless Cathar","Creature - Human Cleric","W","{W}","false","w - Angels"
"Selfless Savior","Creature - Dog","W","{W}","false","WBR - Alesha"
"Ajani's Pridemate","Creature - Cat Soldier","W","","false","WB - Lifegain"
"Akroan Skyguard","Creature - Human Soldier","W","{1}{W}","false","WR - Heroic"
"Angelic Page","Creature - Angel Spirit","W","{1}{W}","false","w - Angels"
"Auriok Steelshaper","Creature - Human Soldier","W","{1}{W}","false","W - Equipment"
"Azorius Arrester","Creature - Human Soldier","W","{1}{W}","false","WU - Detain"
"Capashen Knight","Creature - Human Knight","W","{1}{W}","false","WB - Knights"
"Consul's Lieutenant","Creature - Human Soldier","W","{W}{W}","false","W - Soldiers"
"Containment Priest","Creature - Human Cleric","W","{1}{W}","false","W - Taxes"
"Enduring Sliver","Creature - Sliver","W","{1}{W}","false","WBR - Alesha"
"Hero of Iroas","Creature - Human Soldier","W","{1}{W}","false","WG - Auras"
"Kami of Ancient Law","Creature - Spirit","W","{1}{W}","false","WU - Spirits"
"Ninth Bridge Patrol","Creature - Dwarf Soldier","W","{1}{W}","false","W - Soldiers"
"Ondu Cleric","Creature - Kor Cleric Ally","W","{1}{W}","false","WBG - Allies"
"Seeker of the Way","Creature - Human Warrior","W","{1}{W}","false","W - Prowess"
"Stone Haven Outfitter","Creature - Kor Artificer Ally","W","{1}{W}","false","W - Equipment"
"Sunspear Shikari","Creature - Cat Soldier","W","{1}{W}","false","W - Equipment"
"Thalia, Guardian of Thraben","Legendary Creature - Human Soldier","W","{1}{W}","false","W - Taxes"
"War Priest of Thune","Creature - Human Cleric","W","{1}{W}","false","w - Angels"
"Bygone Bishop","Creature - Spirit Cleric","W","{2}{W}","false","WU - Spirits"
"Flickerwisp","Creature - Elemental","W","{1}{W}{W}","false","W - Taxes"
"Glint-Sleeve Artisan","Creature - Dwarf Artificer","W","{2}{W}","false","WR - Vehicles"
"Gloom Stalker","Creature - Dwarf Ranger","W","{2}{W}","false","WUB - Venture"
"Graceblade Artisan","Creature - Human Monk","W","{2}{W}","false","WG - Auras"
"Herald of the Fair","Creature - Human","W","{2}{W}","false","WR - Vehicles"
"Inspiring Cleric","Creature - Vampire Cleric","W","{2}{W}","false","WB - Lifegain"
"Kor Hookmaster","Creature - Kor Soldier","W","{2}{W}","false","W - Soldiers"
"Kor Sky Climber","Creature - Kor Soldier Ally","W","{2}{W}","false","WBG - Allies"
"Monastery Mentor","Creature - Human Monk","W","{2}{W}","false","W - Prowess"
"Nadaar, Selfless Paladin","Legendary Creature - Dragon Knight","W","{2}{W}","false","WUB - Venture"
"Porcelain Legionnaire","Artifact Creature - Soldier","W","{2}{W/P}","false","WUBRG - Phyrexian"
"Preeminent Captain","Creature - Kithkin Soldier","W","{2}{W}","false","W - Soldiers"
"Roc Egg","Creature - Bird Egg","W","{2}{W}","false","WG - Populate"
"Vryn Wingmare","Creature - Pegasus","W","{2}{W}","false","W - Taxes"
"Waxmane Baku","Creature - Spirit","W","{2}{W}","false","WU - Spirits"
"Basri's Acolyte","Creature - Cat Cleric","W","{2}{W}{W}","false","WB - Lifegain"
"Cubwarden","Creature - Cat","W","{3}{W}","false","WUR - Mutate"
"Inspiring Captain","Creature - Human Knight","W","{3}{W}","false","WB - Knights"
"Phantom General","Creature - Spirit Soldier","W","{3}{W}","false","WG - Populate"
"Spawnbinder Mage","Creature - Human Wizard Ally","W","{3}{W}","false","WBG - Allies"
"Student of Ojutai","Creature - Human Monk","W","{3}{W}","false","W - Prowess"
"Taj-Nar Swordsmith","Creature - Cat Soldier","W","{3}{W}","false","W - Equipment"
